ID,Time,Date,Latitude,Longitude
TMC28,5:00:00,10/23/2016,-34.345573,18.465548
TMC28,8:00:00,10/23/2016,-34.345565,18.465675
TMC28,11:00:00,10/23/2016,-34.345333,18.465392
TMC28,14:00:00,10/23/2016,-34.345603,18.465297
TMC28,17:00:00,10/23/2016,-34.345498,18.465175
TMC28,20:00:00,10/23/2016,-34.345395,18.46514
TMC28,23:00:00,10/24/2016,-34.350463,18.469333
TMC28,2:00:00,10/24/2016,-34.346218,18.465632
TMC28,5:00:00,10/24/2016,-34.345455,18.465178
TMC28,8:00:00,10/24/2016,-34.345545,18.465313
TMC28,11:00:00,10/24/2016,-34.345638,18.46529
TMC28,14:00:00,10/24/2016,-34.345505,18.465148
TMC28,17:00:00,10/24/2016,-34.34545,18.46518
TMC28,20:00:00,10/24/2016,-34.345498,18.464983
TMC28,23:00:00,10/25/2016,-34.347042,18.464625
TMC28,2:00:00,10/25/2016,-34.345645,18.465227
TMC28,5:00:00,10/25/2016,-34.345473,18.46538
TMC28,8:00:00,10/25/2016,-34.344297,18.46364
TMC28,11:00:00,10/25/2016,-34.344535,18.46618
TMC28,14:00:00,10/25/2016,-34.345647,18.46531
TMC28,17:00:00,10/25/2016,-34.345922,18.464723
TMC28,20:00:00,10/25/2016,-34.344913,18.463543
TMC28,23:00:00,10/26/2016,-34.345058,18.463675
